occ,text,label,count
App developer,API connections,Knowledge,1
App developer,Accommodation availability,Other,1
App developer,Best-qualified candidate selection,Other,1
App developer,Collaboration,Skill,1
App developer,Cross-functional team collaboration,Skill,1
App developer,Customer assistance,Skill,1
App developer,Customer focus,Ability,1
App developer,Data services,Knowledge,1
App developer,Equal opportunity employment,Other,1
App developer,Golang,Knowledge,1
App developer,HR team communication,Knowledge,1
App developer,Initiative,Ability,1
App developer,Linux,Knowledge,1
App developer,Mobile app development,Knowledge,1
App developer,MySQL,Knowledge,1
App developer,Non-discrimination,Other,1
App developer,Ownership,Other,1
App developer,Problem solving,Skill,1
App developer,Qualifications assessment,Other,1
App developer,Quality assurance,Knowledge,1
App developer,Recruitment and selection,Knowledge,1
App developer,Server management,Knowledge,1
App developer,System integrations,Knowledge,1
App developer,Teamwork,Skill,1
App developer,Technical architecture,Knowledge,1
App developer,Technical conversations,Skill,1
App developer,Time management,Skill,1
App developer,Troubleshooting,Skill,1
App developer,Virtual server experience,Knowledge,1
Artificial intelligence,Ability to develop course curricula,Ability,1
Artificial intelligence,Ability to develop course syllabi,Ability,1
Artificial intelligence,Ability to identify and mentor students for internships,Ability,1
Artificial intelligence,Ability to maintain relationships with alumni,Ability,1
Artificial intelligence,Ability to teach in both classroom and online modalities,Ability,1
Artificial intelligence,Ability to work independently,Ability,1
Artificial intelligence,Ability to work well with others,Ability,1
Artificial intelligence,Academic advising skills,Skill,1
Artificial intelligence,Commitment to professional development,Ability,1
Artificial intelligence,Doctoral degree in computer information systems,Other,1
Artificial intelligence,Evaluation skills for internships,Skill,1
Artificial intelligence,Experience with business analytics,Knowledge,1
Artificial intelligence,Experience with course and program assessments,Knowledge,1
Artificial intelligence,Experience with internship supervision,Knowledge,1
Artificial intelligence,Experience with recruitment efforts,Knowledge,1
Artificial intelligence,Familiarity with emerging technologies,Knowledge,1
Artificial intelligence,Familiarity with instructional technology,Knowledge,1
Artificial intelligence,Familiarity with machine learning fundamentals,Knowledge,1
Artificial intelligence,Knowledge of Python programming language,Knowledge,1
Artificial intelligence,Knowledge of hardware/software support,Knowledge,1
Artificial intelligence,Knowledge of online teaching methods,Knowledge,1
Artificial intelligence,Knowledge of program external accreditation reporting,Knowledge,1
Artificial intelligence,Master's degree in computer information systems or related discipline,Other,1
Artificial intelligence,Proficiency in human-computer interaction,Knowledge,1
Artificial intelligence,Strong work ethic,Ability,1
Artificial intelligence,Teaching computer information systems and related coursework,Knowledge,1
Artificial intelligence,Understanding of accreditation requirements,Knowledge,1
Artificial intelligence,Understanding of programming logic and syntax,Knowledge,1
Artificial intelligence,Understanding of the impact of artificial intelligence,Knowledge,1
Business Intelligence professional,"""At will"" employment",Other,1
Business Intelligence professional,"""Eyes on"" cybersecurity defense solutions",Other,1
Business Intelligence professional,"""We Care"" attitude",Ability,1
Business Intelligence professional,1 year of directly related experience,Other,1
Business Intelligence professional,1+ years of work experience,Other,1
Business Intelligence professional,10+ years of professional or military experience,Other,1
Business Intelligence professional,2+ years of non-internship design or architecture experience,Other,1
Business Intelligence professional,24x7x365 availability,Other,1
Business Intelligence professional,3+ years of experience analyzing and interpreting data,Other,1
Business Intelligence professional,3+ years of experience at a,Other,1
Business Intelligence professional,3+ years of full-cycle outside software sales experience,Knowledge,1
Business Intelligence professional,3+ years of full-cycle outside software sales experience,Other,1
Business Intelligence professional,3+ years of non-internship professional software development experience,Other,1
Business Intelligence professional,3-5 years of experience in Information Technology,Other,1
Business Intelligence professional,4-8 years of experience in media relations in the asset management and investment space,Knowledge,1
Business Intelligence professional,"40,000+ employees",Other,1
Business Intelligence professional,401(k) and retirement plans,Other,1
Business Intelligence professional,401(k) benefits,Other,1
Business Intelligence professional,401(k) knowledge,Knowledge,1
Business Intelligence professional,401(k) match,Other,1
Business Intelligence professional,401(k) plan,Other,1
Business Intelligence professional,401(k) retirement plan knowledge,Knowledge,1
Business Intelligence professional,401(k) retirement plan with employer match,Other,1
Business Intelligence professional,401(k) savings plan,Other,1
Business Intelligence professional,401K,Other,1
Business Intelligence professional,401K management,Knowledge,1
Business Intelligence professional,401K plan,Other,1
Business Intelligence professional,401K plan knowledge,Knowledge,1
Business Intelligence professional,401K with Company Match,Other,1
Business Intelligence professional,401k,Other,1
Business Intelligence professional,401k contribution,Other,1
Business Intelligence professional,401k knowledge,Knowledge,1
Business Intelligence professional,401k program,Other,1
Business Intelligence professional,5+ years of SQL experience,Knowledge,1
Business Intelligence professional,5+ years of experience in administrative assistant field,Other,1
Business Intelligence professional,"5+ years of experience in pricing strategy, revenue management, or related roles",Other,1
Business Intelligence professional,5+ years of experience in relevant projects involving community engagement,Other,1
Business Intelligence professional,5+ years of related experience,Other,1
Business Intelligence professional,5+ years of software implementation experience,Knowledge,1
Business Intelligence professional,50+ offices,Other,1
Business Intelligence professional,5S methodology,Knowledge,1
Business Intelligence professional,"6+ months experience as a SQL developer, business intelligence developer",Knowledge,1
Business Intelligence professional,8+ years of experience,Other,1
Business Intelligence professional,8+ years of relevant experience in IT Operations Management,Other,1
Business Intelligence professional,8-hour shift schedule,Other,1
Business Intelligence professional,ADA accommodations.,Other,1
Business Intelligence professional,"ADA, FMLA, and other federal, state, and local standards",Knowledge,1
Business Intelligence professional,ADF,Knowledge,1
Business Intelligence professional,AI Infrastructure,Knowledge,1
Business Intelligence professional,AI deployment,Knowledge,1
Business Intelligence professional,AI-based decision systems,Knowledge,1
