source,target,ksao,value,origin
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
Marketing manager,Quantitative Skills,Skill,1,Text
